,AuthorName,Comment
186,Aran 999999999,This is not men in black.  it looks like a total joke and a failure
187,reny jahwa,gg sabar mau nonton
188,barbies and more bss,"Man and women in black 
Thor and Valkyrie in ragnorok"
189,Limely -,"Why is MIB international?
It is already intergalactic?
Should be MIB: Outsourced"
190,Ardian syah,MIB:RAGNAROK
191,Bing Bing,"Are they in the New Asgard?
Cuz that looks really new than the one destroyed. :P"
192,Uh She Up,Thor and Valkyrie LoL
193,ian lawrence,Would be dope to have josh brolin cameo
194,ocean_ slimes,only watching cause of thor
195,Nathany Câmara,"People here I Brazil are complaining about this reboot. Will, Tommy. Ect Ect.
What I have to  say is :  Chris and this girl are Rich enough.
Money was not what motivated both on playing these roles."
196,Starry Night,They really had to cast two Asgardians...
197,Ethanew079709_ Ew,F you Sony for not putting will Smith in this movie
198,MBJ Salty808,Lol Thor just use your power
199,FraserLyleKerr,"Does Tessa Thompson always have to say ""Here we go"" in every trailer?"
200,lavender lily,What is this 🤣🤣🤣 Thor and Valkyrie as Earthanian??? Where is agent Smith
201,Rituraj Joshi,"""Will Smith"" do a cameo in this movie?🤣"
202,zachy FTW,damn she looks like Michael Jackson
203,Calvin,Man that RC-F is beautiful!
204,Mamang Garox,when Thor and Valkyrie in earth
205,ThisIsntDamian,Men in black? It has a mf girl😂
206,nght vice,"Movie: MBI but theres a girl
Feminist: Roll out"
207,Michael K.,Woot!
208,jabroniman,Soon they’ll be saying ‘Men in Black’ is an outdated term just like they’re saying with ‘X-Men’.
209,LOU ASH,"Not feeling this, not the same without Will Smith"
210,Anthony Serna,Wait is that jay kid
211,endgame made me cry,"Plot twist: One of doctor strange’s portal things open, loki falls out, and yells “IVE BEEN FALLING FOR MULTIPLE MOVIES!”"
212,47,This must be one of the reject galaxy marbles pulled out from the bottom of the bag - Reference to ending of MIB.
213,Lydia Willow,"Men in Black:

Feminism: I-

Men in Black: *Men and women in black*"
214,Grace Huang,"people who watched this
1% MIB fans
99% marvel fans"
215,Karate Blader,Thor: I know her she’s a friend from work
216,MrSnugy -,Calling her agent M is a reference to Michael Jackson in mib 2??
217,Gazzz,They in black just doesn’t have the same ring to it
218,Boris Kovicha,"Where's Agent J and K !? Whitout those two, isnt the same!"
219,Nikesh Patel,I thought this was men in black not man and woman in black 😂😂😂
220,Syarz Asterisk,"I'm curious to know what would have happened to agent J, he turned into she"
221,YT-Drizzi,Men In Black : Ragnarok
222,Ev Han,2:31 NO CURSING I SHALL MAKE YOU MORE CHILD FRIENDLY!!!!
223,HabibUK World,Need to see Will at least once man.
224,Thor Odinson,So... this is my new job?
225,nazwa,"""Loki created alternative timeline""
Uh-oh I see"
226,1MicrosoftCPU,"They need a serious character like agent k

This is bull 
And every one knows it"
227,RedPillMale,Come on nowwwww. Don't BS this. M(+W)IB. Stupid SJW movie.
228,julie64,Thor 4 looks awesome
229,Carl Scruggs,this actually doesn't look all that bad
230,DreamerRZ Reaction,Spoiler: There is an alien transformed into an Asian which is confirmed by the Asian actor called Phei Yong.
231,Rafly Bintan,Where is thor?
232,Mahtab Ahmad,But I miss j& k
233,Fermion Physics,I don't see Korg am I missing something here?
234,Claire Warner,"I'm gonna say... 'hell no.' Yes I liked Thor 3... I like the actors but this isn't even in the spirit of MIB. MIB works because most of the cast (except Will Smith) treated alien invasions and end of the world scenarios like another day at the office in an extremely dead-pan fashion. This is 'wooot...yeah let's go and get them aliens....wooot... Someone fell over in gunge... man isn't that so funny'. Both actors in this are playing exactly the same character... both cocky, over the top and overly comedic. MIB worked because Will Smith and Tommy Lee-Jones weren't the same character. Will played a newbie and he get most of the comedy elements... Tommy was more dead-pan, sarcastic and serious. That movie had some heart... this looks like Thor 3 on steroids."
235,Tommy Chiu,Marvel Style MIB? forget it
236,Alam S,"2:19 LOKI has been searching for THIS Weapon, since the ENDGAME..!

I think Loki will find it... and steal it...

Thor thought Loki's dead... he mourned for him.. and then he returns in MIB...."
237,Shannon Lee,Why not the same ppl like the first one 😡😡😡😡
238,Maor Mama,Taken in Black: Ragnarok
239,Cam,"Called MEN in black , but is a women ok"
240,Yashashwani Pandey,Wuhoooooooooo
241,Toopran Dinesh Kumar,It's not a men in black international  it's asguardians in black  😂😂😂😂😂😂😂😂😂😂😂😂
242,Jarek Jellison,Should’ve been called Feminism in Black.
243,it's raw,Wake up!! I need you to be focused!!
244,paulzuel3,MEN in black??????????????????
245,Rashard David Lim,2:29 when minecraft sand logic comes to the real world
246,徐培琰,I like Will Smith more
247,Bosk,"I won't be attending this movie. Unfortunately the scum bag Liam Neeson, is in it. His stance against private citizens owning the means of self defense and his Islamic conversion are enough to make me want to him come to harm. I will certainly not support one of his projects. The the extent that a boycott harms the other actors, they need to know not to be involved in his projects. I hope the producers suffer for hiring this bastard."
248,FamaLama,Comments be like 10% - about the movie. 90% - Thor and Valkyrie
249,SAMUEL MONREAL,"Men in Black?.... (with a female)
that’s like having a man playing in a movie called Women in Black"
250,Quantum Timeline,MIB with Will Smith was way too advanced to its time.
251,Cloud Tank Creative,"If you decided to use digital art for your main actors, people would complain.  I hate video game characters in movies.  They don't belong!"
252,Hafidh Gustiano Mahardhika,Asgard
253,j-dizzle time,Can we stop talking about thor and valkerie and admit that this movie looks like crap!!???
254,Edrees Panjshiri,Me
255,The4cp,It's called MEN in black international.  Apparently the person casting couldn't read.
256,Emmanuel Brown,Michael Jackson is agent m
257,Jose Villasenor,🗑
258,Biglilvest313 Biglilvest313,Throw this whole movie 🎥  franchise away this is proof that Hollywood  is running out of ideas these days 👀😂😂😂😂
259,Y O J I M B O 用心棒,"""I. FOUND. YOU.""
*(immediately gets neuralyzed)*"
260,Cruz Pacheco,"I’m cool with reboots with female leads, as long as the main plot isn’t based around that simple fact. I love this!"
261,José Soares Junior,They managed to end the MIB franchise. MIB without Will Smith and Tommy Lee Jones is not MIB for me. Too bad.
262,Christian Carestia,Asgardians in black
263,Steve Vigilante,"Wasnt Micheal Jackson Agent M? 

I guess he never was able to become agent M...




Probably causes he died..."
264,Steve Vigilante,So I guess the original Agent M is died?
265,MᎥcєOnVєnus,Now we have to change the title to LGBTQ+ in Black...
266,Mita Choudhury,This is out on my birthday
267,Barry Crowley,WOW GARBAGE
268,ayaz Khan,Wow 😍😍😍 I like it
269,Eddy Que,"Remember folks, not even IP’s that have the word “Men” aren’t safe from social justice. Guarantee you they wanted two female leads but they fought to keep Thor.

It looks fun but still...  given the story and the release, feels like a film made to appease the SJW’s who want Women to takeover everything."
270,Pallavi Bhuta,Skrulls?
271,eynar felix guarachi llave,Primero arruinan los cazafantasmas ahora hombres de negro
272,Rasinja Englengpi,Amazing😍😍😍
273,Mike Jensen,"The Men in black series had a perfect ending, how dare you disrespect the movie series with this propaganda/feminist bs."
274,Luke Bourne,Stfu with the Avengers comments.
275,bruh,"He attac
He protec
But most importantly
He is a *Man in Black* 😎😎"
276,Jimmy Divicio,Stfu you cringy little virgin
277,Achaemenes of Persia,They should have brought Josh Brolin ... since he was Thanks and played Leslie Jones in earlier movies.
278,Darky,"To me Will smith and Tommy Lee Jones is what made Men In Black Great, not got any intention of seeing this movie"
279,Leeroy Jenkins,Nvm i just watched the trailer and if the third movie is where Lee takes in Smith then that's the movie i mean not the second one
280,Leeroy Jenkins,"Wait, there's a third one ?"
281,Darky,"Leeroy Jenkins In my opinion the 3rd one was suprissingly the strongest one, and in that Tommy wasnt even that much in it however K was."
282,Leeroy Jenkins,I feel like the second was the finale for Smith and Lee
283,Darky,"Leeroy Jenkins Im not saying its gonna be bad without them, but the same charm and charisma that Tommy and Will brought to it will be gone. Why not just make a movie with these two but not make it men in black? The only reason its Men in Black is because its a title thay sells well"
284,Jj King,What da fuk is thor doing here?
285,Fehndyster Gates,"The men and women in black 
Jajajaja"
286,Wally The Walrus,I like how they've met before in marvel
287,shinobu oshino,Men and women in black 👍
288,MMD P,MIB RIP
289,MMD P,WTF!
290,Telea van Booma,All MSU jokes aside...  This honestly looks beyond sub-par...
291,Frostii,marvel synematic universe
292,Voidy Boi,"Is this a sequel to endgame?

Yeah some won't get it..."
293,Keevan Krishn,Queen of Asgard that is!!!
294,Jon Wane,and the me2 pandering continues....smh
295,Pato Salado,Soy el comentario en español q buscas
296,William Rustad,I thougt it was MEN In Black
297,이누이트,*MEN IN BLACK: RAGNAROK*
298,Charlotte Guthrie,I just find it so funny that Thor and Valkyrie are in another movie together XD
299,Ridwan wan,I love that soundtracks. Queen of Rapper Queen of RnB. Missy Elliot 👌
300,Nabeel Ahmad,"Wooooahhhhhh
Bearly waiting
Love for Kumail ❤"
301,Dragon Fish Arowana,Another SJW political driven movie. Men in black yet they have to forcefully push the strong toxic feminist character in there to push that agenda. This types of movies are garbage and the people are seeing right through this crap and boycotting it. Keep making this garbage and watch as you will continue to lose money and fans. I boycott this crap and refuse to have anyone push this political BS in what should be entertainment. lol
302,Maatiz Saad,No
303,almondbrowne,Cringe
304,Nathan Hatfield,"Ohh yeah, Men in Black is Woke. 😕"
305,Xander Collier,1 man and 1 woman in black: international feminism
306,Waffles Sticc Draws,What a coincidence that Tessa and Chris are in the same movie again
307,Ironhardt_8,"If there’s a Thor reference with Hemsworth picking up the hammer, I only hope there’s a Loki reference somewhere in the movie."
308,Timothy McQueen,That fuckin' side character alien.
309,Mithilesh Krishna,Does Thor and Valkyrie become agents after end game??
310,Hendra Darmawan,Agent T and Agent V
311,if its not rice its NOT RIGHT!!!,liam neeson?
312,Plague Gaming,Where’s Will Smith?
313,Zhakus,Is this a sequel to mib3?
314,Kino,This came out of nowhere and I'm scared
315,Justin Quan,Thor Ragnarok 2 looks amazing
316,John Dohn,Alien lifes matter
317,ninja5672,"Is it just me, or is Tommy Lee Jones' face more likable than hers?"
318,Memxry,Chris and Tessa together two movies in a row lol
319,Jizzy,"I expected Michael Jackson to be M, 0/10."
320,Ale Carrera,Wouldn’t have been awesome if it was will smith and tommy lee jones who erased the memories of the woman’s parents?!
321,Estivel Garcia,Looks like them to me 0:22
322,Thomas Huntington,Way to ruin yet another franchise.
323,Turtle Jr,So thats where valkyrie was the whole time!!
324,THE SECRETS,I want will Smith in mib
325,Luke's fortitude,It looks stupid honestly
326,the 50's Milk man,1:26 Mista?
327,The Mango Man,"MIB International:
Starting Chris Hemsworth, Mark Ruffalo, Tessa Thompson, and Taika Waititi"
328,Nathany Câmara,Because of Thompson. As you could see Emma is on it kkkk
329,The Mango Man,"@Nathany Câmara
(Starring Thor, [Professor] Hulk/Banner, Valkyrie (Tessa), and Korg (Taika)"
330,Nathany Câmara,Tessa?
331,Klhvl Vjlkj,Les Twins dude
332,WR3D Restyled,"No hard feelings
This movie will suck
& Will never be on level of either MIB 1 or MIB2"
333,James Har_en,Your mum sucks?
334,mlal83,Makes no sense MEN in black... Why is there a lady as one (rhetorical question). Before I get the feminist on my back I'm a women I just believe in common sense world. It's not sexist if a guy takes a lead role. I genuinely believe that we are moving in to a male hating society and PC crap.
335,I am noobmaster69 come and get me thor,"""You will be with agent H.""
Code for
""You are going to be with agent Hottie."""
336,fatema hakimi,Where is thor hammer
337,BACKYARD MOTO,So stupid
338,Tear of Dragon,Thor come back
339,fairy tail,Thor and valkyrie
340,Raida Chowdhury,Eid Mubarak everyone...have a blast 😍😍🥰🥰
341,NJ Montances,Both*
342,NJ Montances,There bot on endgame
343,iam jacks complete lack of surprise,I was up in my room when my parents got there memories flashed. And I found you therefore Iam owed this job. Police Will Smith had to be a competent police officer
344,Dirgantara Sambuaga,Am I the only one who thinks the title might be better with ”Thor back to the future”
345,ceebs Bartz,Is this Liam or Chris cause if it’s Chris he’s really come off the steroids
346,Ethan He,"So to sum up the comments
- 95% thor
- 5% misc"
347,Zoe Mosaic,This looks cheesy af but I love Tessa and Chris
348,rony gamers,Thore  in black I am suggesting Hollywood campany 😪😪😪😪😛😛😛😛😛😛😛😛😛
349,kocak 5 menit,Thor and valkyrie
350,Harsh Gada,"Thor and Valkyrie in black 
Can this comment get 100 likes ?"
351,Ran E,2:05 - Is it scott adkins i see????
352,Amu King,WHERE WILL SMITH AT??!!!!!
353,Typical Blox,We know each other! She's a friend from work.
354,Kim Min Ah,Hmmmm.. is this the new Asgard?? 😁😁😁
355,Depressed Acorns,"*Ah yes, Some More Comedy to this series*"
356,shubh agrawal,"Men in Black 4 : Thor and Valkyrie
Men in Black 5 : Miek and Korg 
😂😂"
357,Glen Paman,"MIB 3: Thanos and Deadshot 
I mean Young Agent Kay"
358,CORN MEAL,MEN IN BLACK IS MARVEL COMICS
359,Ceramic HoodZz,Thats not funny just stop
360,Wowz Channel Indonesia,+shubh agrawal 😂😂😂
361,Nathany Câmara,Why don't  show them in this movie? I mean. They do are Alliens
362,The Silly Gamer,Chris Hemsworth Just Can't Stay Away From Protecting The Earth
363,ATLien n,Why everyone gotta mention the spoiler I wouldn’t have known unless it was for you fucks
364,ATLien n,I’m sorry but where my man will Smith at this un acceptable
365,Cyphir,Woah will smith got a gender change aye?
366,mitsuki yuru,So many comments from the marvel fans
367,mitsuki yuru,Kinda weird without will smith but i cant wait to see what the result would be
368,Xbot Bananaboi,No thanks
369,Kyle Groundwater,Wow “MEN in black” sure does have a lit of women
370,An D Mar,White Walkers have found their way to MIB universe
371,Wridd,Thor and Valkyrie in MIB
372,AJAY RAJPUT,Just fantastic trailer 🤘
373,James Converse,Main plot leaked  Thor has left the asgardians of the galaxy and is trying to find Loki from 2012 and valkyrie is trying to revive the fallen valkyries but have gotten stuck in the Multiverse👍
374,Code: Luis,Does Stan Lee get a cut?
375,zerocool1ist,Sad thing was Jaden smith literally was being groomed for this movie but chose to do drugs and make shitty music guess he is just waiting for his dad to die to become financially successful.
376,K. Benzema Is God,"A fucking woman is a man in black, speaks to society how this is possible. Disgusting."
377,Juan Andres 1164,174K likes from the new generation... 9.2K dislikes from the ones that enjoyed watching Will Smith and Tommy Lee Jones.
378,Segi shin,Thats quite fast diet after end game avengers
379,daddy here1,I was expecting previous  characters  mr.smit and tommy   disappointed
380,Braxton Scott,Are we just going to pass over that Les Twins are in this movie 🤔
